ASU Unmapped Transcript ID	RefSeq Gene Description	ASU_Acar Sequence Length (bp)	Best RefSeq Hit Description	NCBI RefSeq ID	E-Value	Percent Similarity	Blast Score	Alignment Length (amino acids)	Positives Matches (amino acids)
a15914	dynactin subunit 5-like	3121	gi|310772211|ref|NP_001185569.1|dynactin subunit 5 isoform 2 [Gallus gallus]	NP_001185569	2.27867E-89	91	332.413	180	165	
a15915	coiled-coil domain-containing protein 117-like	934	gi|363740009|ref|XP_003642256.1|PREDICTED: coiled-coil domain-containing protein 117 [Gallus gallus]	XP_003642256	5.15218E-7	73	56.6102	52	38	
a15916	polypeptide n-acetylgalactosaminyltransferase-like protein 4	2784	gi|313760656|ref|NP_001186513.1|putative polypeptide N-acetylgalactosaminyltransferase-like protein 4 [Gallus gallus]	NP_001186513	0.0	93	1142.87	613	575	
a159163	protein tweety homolog 1-like	584	gi|118405086|ref|NP_001072899.1|protein tweety homolog 1 [Xenopus (Silurana) tropicalis]	NP_001072899	1.75899E-41	83	169.859	118	99	
a15920	disks large homolog 1 isoform 2	5000	gi|363737193|ref|XP_003641812.1|PREDICTED: disks large homolog 1 isoform 2 [Gallus gallus]	XP_003641812	0.0	91	1289.63	803	738	
a15921	disks large homolog 1 isoform 2	3573	gi|363737193|ref|XP_003641812.1|PREDICTED: disks large homolog 1 isoform 2 [Gallus gallus]	XP_003641812	0.0	92	1329.69	809	750	
a15922	disks large homolog 1 isoform 1	3408	gi|363737191|ref|XP_003641811.1|PREDICTED: disks large homolog 1 isoform 1 [Gallus gallus]	XP_003641811	0.0	92	1202.96	733	677	
a15923	disks large homolog 4 isoform 2	3356	gi|157909820|ref|NP_001103222.1|disks large homolog 4 isoform 2 [Mus musculus]	NP_001103222	0.0	92	1334.7	745	692	
a15924	disks large homolog 4 isoform 2	3257	gi|157909820|ref|NP_001103222.1|disks large homolog 4 isoform 2 [Mus musculus]	NP_001103222	0.0	97	1351.65	712	692	
a15927	chromosome 7 open reading frame 43	1306	gi|126309311|ref|XP_001367097.1|PREDICTED: uncharacterized protein C7orf43 homolog [Monodelphis domestica]	XP_001367097	2.54944E-72	85	274.248	181	154	
a15928	integrator complex subunit 2	4585	gi|71897039|ref|NP_001025893.1|integrator complex subunit 2 [Gallus gallus]	NP_001025893	0.0	91	1932.15	1209	1106	
a15931	heme transporter hrg1-like	3009	gi|327279550|ref|XP_003224519.1|PREDICTED: heme transporter HRG1-like [Anolis carolinensis]	XP_003224519	1.34454E-38	79	163.696	144	115	
a15935	transcriptional repressor p66-alpha	1736	gi|326934470|ref|XP_003213312.1|PREDICTED: transcriptional repressor p66-alpha-like isoform 1 [Meleagris gallopavo]	XP_003213312	2.29965E-106	80	387.882	457	367	
a15937	coiled-coil domain-containing protein 124-like	864	gi|326936024|ref|XP_003214059.1|PREDICTED: coiled-coil domain-containing protein 124-like [Meleagris gallopavo]	XP_003214059	8.46288E-62	66	238.424	220	146	
a15942	g patch domain-containing protein 1	3189	gi|345328342|ref|XP_001509159.2|PREDICTED: G patch domain-containing protein 1-like [Ornithorhynchus anatinus]	XP_001509159	0.0	60	833.943	955	575	
a15945	protransforming growth factor alpha-like	2732	gi|48675893|ref|NP_001001614.1|protransforming growth factor alpha precursor [Gallus gallus]	NP_001001614	5.94825E-62	82	241.121	154	127	
a15946	protransforming growth factor alpha-like	2709	gi|48675893|ref|NP_001001614.1|protransforming growth factor alpha precursor [Gallus gallus]	NP_001001614	1.31151E-61	85	239.965	146	125	
a15949	catalase	3255	gi|327280931|ref|XP_003225204.1|PREDICTED: catalase-like [Anolis carolinensis]	XP_003225204	0.0	99	702.975	347	345	
a15953	protein creg1-like	3711	gi|301613575|ref|XP_002936276.1|PREDICTED: protein CREG1 isoform 1 [Xenopus (Silurana) tropicalis]	XP_002936276	2.34275E-72	85	276.174	187	159	
a15954	thyroid hormone receptor beta isoform 2	3118	gi|327283073|ref|XP_003226266.1|PREDICTED: thyroid hormone receptor beta-like [Anolis carolinensis]	XP_003226266	0.0	98	693.345	360	356	
a15958	popeye domain-containing protein 3-like	4806	gi|327284532|ref|XP_003226991.1|PREDICTED: popeye domain-containing protein 3-like [Anolis carolinensis]	XP_003226991	6.65545E-83	96	311.612	184	177	
a15959	amyloid beta precursor-like protein 2	4711	gi|327276919|ref|XP_003223214.1|PREDICTED: amyloid-like protein 2-like [Anolis carolinensis]	XP_003223214	0.0	100	908.672	531	531	
a15960	sentrin-specific protease 8	1715	gi|327285348|ref|XP_003227396.1|PREDICTED: sentrin-specific protease 8-like [Anolis carolinensis]	XP_003227396	1.04918E-111	93	405.601	211	197	
a15965	zinc finger protein 271-like	962	gi|327266602|ref|XP_003218093.1|PREDICTED: zinc finger protein 397-like [Anolis carolinensis]	XP_003218093	1.97637E-126	92	453.366	227	209	
a15966	zinc finger protein 420	1316	gi|327286616|ref|XP_003228026.1|PREDICTED: hypothetical protein LOC100567100 [Anolis carolinensis]	XP_003228026	0.0	69	688.337	522	362	
a15969	phosphoribosyl pyrophosphate synthase-associated protein 2	2395	gi|326929016|ref|XP_003210668.1|PREDICTED: phosphoribosyl pyrophosphate synthase-associated protein 2-like [Meleagris gallopavo]	XP_003210668	0.0	98	651.744	369	363	
a15971	rna-binding protein nova-1 isoform 2	2176	gi|314122361|ref|NP_001186642.1|RNA-binding protein Nova-1 isoform 2 [Gallus gallus]	NP_001186642	8.64961E-45	100	183.726	89	89	
a15978	mucin- partial	932	gi|260834003|ref|XP_002612001.1|hypothetical protein BRAFLDRAFT_124780 [Branchiostoma floridae]	XP_002612001	4.8223E-5	39	50.0618	171	68	
a15979	low quality protein: ephrin type-b receptor 4-like	5073	gi|291390915|ref|XP_002711965.1|PREDICTED: EPH receptor B4 isoform 1 [Oryctolagus cuniculus]	XP_002711965	0.0	83	1404.04	974	812	
a159802	sodium hydrogen exchanger 1	305	gi|194207843|ref|XP_001500683.2|PREDICTED: sodium/hydrogen exchanger 1 [Equus caballus]	XP_001500683	1.11768E-50	98	199.134	101	99	
a15981	sedoheptulokinase	2012	gi|326931452|ref|XP_003211843.1|PREDICTED: sedoheptulokinase-like [Meleagris gallopavo]	XP_003211843	5.81485E-165	77	582.793	448	345	
a15986	cytosolic endo-beta-n-acetylglucosaminidase-like	901	gi|327264740|ref|XP_003217169.1|PREDICTED: cytosolic endo-beta-N-acetylglucosaminidase-like [Anolis carolinensis]	XP_003217169	6.10779E-18	55	92.8189	90	50	
a15988	delta-like protein 4	758	gi|118091598|ref|XP_421132.2|PREDICTED: delta-like protein 4 [Gallus gallus]	XP_421132	2.4947E-40	80	166.777	110	89	
a15989	death domain-associated protein 6	2122	gi|291396035|ref|XP_002714451.1|PREDICTED: death-domain associated protein [Oryctolagus cuniculus]	XP_002714451	4.68601E-96	69	353.984	363	253	
a15990	collagen alpha-1 chain-like	927	gi|348528504|ref|XP_003451757.1|PREDICTED: eosinophil peroxidase-like [Oreochromis niloticus]	XP_003451757	1.08721E-41	82	171.785	121	100	
a15991	btb poz domain-containing protein kctd11-like	596	gi|296201409|ref|XP_002748029.1|PREDICTED: BTB/POZ domain-containing protein KCTD11-like [Callithrix jacchus]	XP_002748029	8.93043E-20	69	97.8265	79	55	
a16001	nadh dehydrogenase subunit 5	2489	gi|16357006|ref|NP_443421.1|NADH dehydrogenase subunit 5 (mitochondrion) [Gasterosteus aculeatus]	NP_443421	0.0	97	898.271	595	578	
a16004	serine threonine-protein kinase nek8	1195	gi|363741143|ref|XP_415822.3|PREDICTED: serine/threonine-protein kinase Nek8 [Gallus gallus]	XP_415822	5.96449E-174	89	611.683	363	326	
a16010	bromodomain and wd repeat-containing protein 3	1177	gi|301786506|ref|XP_002928668.1|PREDICTED: bromodomain and WD repeat-containing protein 3-like [Ailuropoda melanoleuca]	XP_002928668	6.30463E-136	93	485.337	275	258	
a16016	phosphorylase b kinase gamma catalytic skeletal muscle isoform	998	gi|224076267|ref|XP_002196250.1|PREDICTED: phosphorylase kinase gamma subunit 1 [Taeniopygia guttata]	XP_002196250	9.34664E-151	90	534.258	311	283	
a16017	40s ribosomal protein s11-like	808	gi|327288000|ref|XP_003228716.1|PREDICTED: 40S ribosomal protein S11-like [Anolis carolinensis]	XP_003228716	7.19592E-4	64	45.8246	51	33	
a16024	small g protein signaling modulator 1	573	gi|335301370|ref|XP_001926987.3|PREDICTED: small G protein signaling modulator 1 [Sus scrofa]	XP_001926987	4.50258E-71	91	268.085	159	145	
a16029	amiloride-sensitive amine oxidase	421	gi|363729844|ref|XP_003640715.1|PREDICTED: LOW QUALITY PROTEIN: amiloride-sensitive amine oxidase [copper-containing]-like [Gallus gallus]	XP_003640715	1.75645E-40	71	165.236	144	103	
a16030	elongation factor 2	546	gi|348527824|ref|XP_003451419.1|PREDICTED: elongation factor 2-like [Oreochromis niloticus]	XP_003451419	9.64917E-49	83	193.741	123	103	
a16033	transferrin receptor protein 2	2536	gi|301783867|ref|XP_002927358.1|PREDICTED: transferrin receptor protein 2-like [Ailuropoda melanoleuca]	XP_002927358	5.35598E-118	83	427.172	300	249	
a16034	double c2-like domain-containing protein beta-like	1416	gi|118100378|ref|XP_415868.2|PREDICTED: double C2-like domains, beta [Gallus gallus]	XP_415868	2.2006E-165	93	583.563	345	322	
a16035	cytochrome c oxidase subunit mitochondrial-like	478	gi|348523439|ref|XP_003449231.1|PREDICTED: cytochrome c oxidase subunit 8B, mitochondrial-like [Oreochromis niloticus]	XP_003449231	2.51125E-19	82	95.5153	67	55	
a16038	basement membrane-specific heparan sulfate proteoglycan core protein	434	gi|94536813|ref|NP_001001876.1|basement membrane-specific heparan sulfate proteoglycan core protein precursor [Gallus gallus]	NP_001001876	1.79422E-38	74	158.688	140	104	
a16041	glutamate dehydrogenase 1	492	gi|348508526|ref|XP_003441805.1|PREDICTED: glutamate dehydrogenase, mitochondrial-like [Oreochromis niloticus]	XP_003441805	3.49077E-83	93	307.76	163	153	
a16043	PREDICTED: hypothetical protein LOC100587048 [Nomascus leucogenys]	524	gi|332232575|ref|XP_003265481.1|PREDICTED: hypothetical protein LOC100587048 [Nomascus leucogenys]	XP_003265481	4.13258E-6	51	51.9878	168	87	
a160486	39s ribosomal protein mitochondrial-like	468	gi|148226811|ref|NP_001088590.1|uncharacterized protein LOC495474 [Xenopus laevis]	NP_001088590	4.14368E-16	79	84.7297	58	46	
a16059	vinculin isoform 2	1643	gi|327276819|ref|XP_003223165.1|PREDICTED: vinculin-like isoform 2 [Anolis carolinensis]	XP_003223165	1.7969E-20	100	102.449	49	49	
a160604	rho gtpase binding protein 2	741	gi|118096400|ref|XP_414133.2|PREDICTED: rhophilin-2 [Gallus gallus]	XP_414133	9.65675E-82	93	304.294	182	170	
a16061	zinc finger protein 395-like	3072	gi|327282491|ref|XP_003225976.1|PREDICTED: zinc finger protein 395-like [Anolis carolinensis]	XP_003225976	3.30812E-8	53	62.7734	132	71	
a16062	methyltransferase-like protein 21d-like	1469	gi|224052003|ref|XP_002200473.1|PREDICTED: hypothetical protein [Taeniopygia guttata]	XP_002200473	4.91494E-83	84	310.071	205	173	
a16063	lysine-specific demethylase 2b-like	3527	gi|327286514|ref|XP_003227975.1|PREDICTED: lysine-specific demethylase 2B-like [Anolis carolinensis]	XP_003227975	0.0	84	969.533	582	492	
a16065	upf0598 protein c8orf82-like	1210	gi|327290945|ref|XP_003230182.1|PREDICTED: UPF0598 protein C8orf82-like [Anolis carolinensis]	XP_003230182	8.7352E-72	99	272.322	129	128	
a160652	rab-like protein 2a-like	542	gi|50806654|ref|XP_424473.1|PREDICTED: RAB, member of RAS oncogene family-like 2B [Gallus gallus]	XP_424473	2.84143E-69	94	261.922	141	133	
a16066	midnolin	818	gi|334326700|ref|XP_003340789.1|PREDICTED: LOW QUALITY PROTEIN: midnolin-like [Monodelphis domestica]	XP_003340789	1.50588E-49	79	197.593	191	151	
a16067	zinc finger protein 850-like	1232	gi|327266682|ref|XP_003218133.1|PREDICTED: zinc finger protein 208-like [Anolis carolinensis]	XP_003218133	0.0	98	791.956	368	363	
a160673	nodulation protein v-like	451	gi|301632553|ref|XP_002945347.1|PREDICTED: nodulation protein V-like [Xenopus (Silurana) tropicalis]	XP_002945347	2.54222E-17	58	88.5817	157	92	
a16073	zinc finger protein glis2	3612	gi|329664222|ref|NP_001192877.1|zinc finger protein GLIS2 [Bos taurus]	NP_001192877	1.1578E-108	73	396.741	325	240	
a16074	ring finger protein 24-like	1252	gi|126305359|ref|XP_001364622.1|PREDICTED: RING finger protein 24-like [Monodelphis domestica]	XP_001364622	2.9452E-78	94	293.893	150	142	
a16075	dna-binding protein rfxank-like isoform 1	1278	gi|332854258|ref|XP_001139746.2|PREDICTED: DNA-binding protein RFXANK isoform 4 [Pan troglodytes]	XP_001139746	4.82508E-92	79	339.732	246	195	
a16076	nad kinase	4503	gi|71894909|ref|NP_001026041.1|NAD kinase [Gallus gallus]	NP_001026041	0.0	93	726.087	443	412	
a16077	telomeric repeat-binding factor 2	1192	gi|327287506|ref|XP_003228470.1|PREDICTED: telomeric repeat-binding factor 2-like [Anolis carolinensis]	XP_003228470	1.93053E-23	66	111.694	157	105	
a16079	oxysterol-binding protein 6	3557	gi|327282014|ref|XP_003225739.1|PREDICTED: oxysterol-binding protein-related protein 6-like [Anolis carolinensis]	XP_003225739	0.0	94	1633.23	960	911	
a16080	oxysterol-binding protein 6 isoform 2	3482	gi|327282014|ref|XP_003225739.1|PREDICTED: oxysterol-binding protein-related protein 6-like [Anolis carolinensis]	XP_003225739	0.0	92	1597.79	960	886	
a16083	zinc finger protein 420-like	760	gi|85702314|ref|NP_001033015.1|uncharacterized protein LOC626316 [Mus musculus]	NP_001033015	2.83451E-60	67	233.032	181	122	
a16088	3-hydroxyisobutyryl- mitochondrial	2317	gi|327265342|ref|XP_003217467.1|PREDICTED: 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial-like [Anolis carolinensis]	XP_003217467	0.0	95	722.62	386	369	
a16090	PREDICTED: uncharacterized protein C7orf26-like [Anolis carolinensis]	2430	gi|327291211|ref|XP_003230315.1|PREDICTED: uncharacterized protein C7orf26-like [Anolis carolinensis]	XP_003230315	0.0	100	751.125	389	389	
a16091	adamts-like protein 5-like	1742	gi|334326760|ref|XP_001373035.2|PREDICTED: ADAMTS-like protein 5-like [Monodelphis domestica]	XP_001373035	5.52344E-92	65	340.117	324	213	
a16094	zinc finger protein 135-like	679	gi|327288963|ref|XP_003229194.1|PREDICTED: zinc finger protein 658-like [Anolis carolinensis]	XP_003229194	3.73854E-10	78	66.2402	38	30	
a16102	ring finger protein 26-like	2136	gi|363742539|ref|XP_001233110.2|PREDICTED: RING finger protein 26 [Gallus gallus]	XP_001233110	1.66948E-117	65	425.246	496	327	
a16105	apical endosomal glycoprotein	2024	gi|109109742|ref|XP_001117862.1|PREDICTED: apical endosomal glycoprotein-like isoform 1 [Macaca mulatta]	XP_001117862	1.16736E-88	51	329.331	483	249	
a16112	dna replication complex gins protein psf3-like	3585	gi|327291675|ref|XP_003230546.1|PREDICTED: DNA replication complex GINS protein PSF3-like [Anolis carolinensis]	XP_003230546	3.14828E-82	100	308.916	154	154	
a161155	phosphatidylinositol n-acetylglucosaminyltransferase subunit q	731	gi|326929404|ref|XP_003210855.1|PREDICTED: phosphatidylinositol N-acetylglucosaminyltransferase subunit Q-like [Meleagris gallopavo]	XP_003210855	4.85365E-70	96	265.388	180	173	
a16116	guanine nucleotide-binding protein subunit alpha-11	5662	gi|45383662|ref|NP_989565.1|guanine nucleotide-binding protein subunit alpha-11 [Gallus gallus]	NP_989565	0.0	99	706.442	359	357	
a16118	mesoderm-specific transcript homolog	522	gi|363727349|ref|XP_425258.3|PREDICTED: mesoderm-specific transcript homolog protein [Gallus gallus]	XP_425258	2.2809E-41	96	169.088	85	82	
a161180	neurofibromin isoform 1	467	gi|363741223|ref|XP_003642464.1|PREDICTED: neurofibromin isoform 1 [Gallus gallus]	XP_003642464	1.54924E-71	100	268.855	133	133	
a161185	protein prrc2a	512	gi|334323555|ref|XP_003340406.1|PREDICTED: LOW QUALITY PROTEIN: protein PRRC2A-like [Monodelphis domestica]	XP_003340406	2.64031E-47	95	188.734	95	91	
a16119	zinc finger and scan domain-containing protein 30	1821	gi|327286612|ref|XP_003228024.1|PREDICTED: zinc finger protein 850-like [Anolis carolinensis]	XP_003228024	0.0	98	690.263	358	354	
a16121	zinc finger protein 135-like	610	gi|327281868|ref|XP_003225667.1|PREDICTED: zinc finger protein 208-like [Anolis carolinensis]	XP_003225667	9.51141E-33	87	140.969	78	68	
a161211	zinc finger protein rfp-like	481	gi|327266530|ref|XP_003218057.1|PREDICTED: tripartite motif-containing protein 39-like [Anolis carolinensis]	XP_003218057	8.23492E-26	65	117.087	113	74	
a16122	uncharacterized mfs-type transporter c19orf28-like	2331	gi|363743634|ref|XP_418193.3|PREDICTED: uncharacterized MFS-type transporter C19orf28 homolog [Gallus gallus]	XP_418193	0.0	75	646.736	475	359	
a16123	ubiquitin-60s ribosomal protein l40-like	564	gi|348537407|ref|XP_003456186.1|PREDICTED: polyubiquitin-C-like [Oreochromis niloticus]	XP_003456186	4.46375E-15	97	82.0333	42	41	
a161231	heterogeneous nuclear ribonucleoprotein u-like protein 1	342	gi|327276387|ref|XP_003222951.1|PREDICTED: heterogeneous nuclear ribonucleoprotein U-like protein 1-like [Anolis carolinensis]	XP_003222951	8.65299E-43	100	172.94	77	77	
a161259	low density lipoprotein receptor adapter protein 1	583	gi|311258732|ref|XP_003127756.1|PREDICTED: low density lipoprotein receptor adapter protein 1 [Sus scrofa]	XP_003127756	9.44018E-72	98	270.396	144	142	
a161264	membrane-associated transporter protein	664	gi|224090292|ref|XP_002194019.1|PREDICTED: solute carrier family 45, member 2 [Taeniopygia guttata]	XP_002194019	2.5422E-24	91	113.235	60	55	
a16128	solute carrier family 25 member 42	2389	gi|363743829|ref|XP_424684.3|PREDICTED: solute carrier family 25 member 42 [Gallus gallus]	XP_424684	2.38509E-144	89	514.612	328	295	
a161280	gtpase mitochondrial	876	gi|332848215|ref|XP_511365.3|PREDICTED: GTPase Era, mitochondrial [Pan troglodytes]	XP_511365	7.10636E-56	86	218.779	138	120	
a16130	PREDICTED: hypothetical protein LOC100440317 [Pongo abelii]	1897	gi|297709859|ref|XP_002831631.1|PREDICTED: hypothetical protein LOC100440317 [Pongo abelii]	XP_002831631	4.34674E-5	73	51.6026	52	38	
a161307	receptor-type tyrosine-protein phosphatase mu	912	gi|224046091|ref|XP_002193196.1|PREDICTED: protein tyrosine phosphatase, receptor type, M [Taeniopygia guttata]	XP_002193196	7.61316E-141	96	501.13	256	247	
a16132	notchless protein homolog 1	3770	gi|224076540|ref|XP_002196078.1|PREDICTED: similar to notchless homolog 1 [Taeniopygia guttata]	XP_002196078	0.0	93	851.277	473	440	
a16133	transducin -like 3	3030	gi|326929164|ref|XP_003210739.1|PREDICTED: transducin beta-like protein 3-like [Meleagris gallopavo]	XP_003210739	0.0	82	1113.98	800	663	
a161351	zinc finger mym-type protein 4	598	gi|334329121|ref|XP_001380579.2|PREDICTED: zinc finger MYM-type protein 4 [Monodelphis domestica]	XP_001380579	1.77867E-60	77	233.032	153	118	
a16136	endophilin-a2-like	5369	gi|45383117|ref|NP_989860.1|endophilin-A2 [Gallus gallus]	NP_989860	0.0	97	695.656	367	356	
a16137	endophilin-a2-like	5288	gi|45383117|ref|NP_989860.1|endophilin-A2 [Gallus gallus]	NP_989860	0.0	97	695.656	367	356	
a1614	alpha-methylacyl- racemase	1667	gi|71895383|ref|NP_001026619.1|alpha-methylacyl-CoA racemase [Gallus gallus]	NP_001026619	1.39163E-161	88	571.237	383	340	
a16142	telomeric repeat-binding factor 2	2218	gi|327287506|ref|XP_003228470.1|PREDICTED: telomeric repeat-binding factor 2-like [Anolis carolinensis]	XP_003228470	4.56815E-25	62	118.242	202	127	
a16145	signal peptide peptidase-like 2b-like	2454	gi|326934240|ref|XP_003213200.1|PREDICTED: signal peptide peptidase-like 2B-like [Meleagris gallopavo]	XP_003213200	0.0	88	842.803	487	432	
a16146	rho guanine nucleotide exchange factor 18	4912	gi|363743907|ref|XP_418249.3|PREDICTED: rho guanine nucleotide exchange factor 18 [Gallus gallus]	XP_418249	0.0	55	815.839	1113	623	
a16147	hemoglobin subunit epsilon	1215	gi|327289900|ref|XP_003229662.1|PREDICTED: hemoglobin subunit beta-1-like [Anolis carolinensis]	XP_003229662	1.15443E-55	77	218.779	147	114	
